time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1959-08-03T17:54:14.340Z,33.9603333,-117.8055,5.58,3.09,ml,8,159,,0.39,ci,ci3297151,2016-01-28T18:15:44.150Z,"6km SW of Chino Hills, CA",earthquake,1.13,1.49,0.177,11,reviewed,ci,ci
1959-08-03T17:15:23.660Z,33.9598333,-117.8025,5.66,2.09,ml,8,159,0.3381,0.48,ci,ci3297150,2016-01-28T18:01:40.050Z,"6km SW of Chino Hills, CA",earthquake,1.42,2.33,0.03,5,reviewed,ci,ci
1959-08-03T17:06:39.560Z,33.9738333,-117.8126667,1.79,2.16,ml,7,158,0.3219,0.36,ci,ci3297149,2016-01-28T18:24:48.380Z,"5km WSW of Chino Hills, CA",earthquake,1.48,2.26,0.131,4,reviewed,ci,ci
1959-08-03T15:26:42.280Z,33.989,-117.7845,4.75,3.7,ml,12,100,,0.43,ci,ci3297148,2016-01-28T18:20:15.750Z,"2km WSW of Chino Hills, CA",earthquake,1.05,2.01,0.283,12,reviewed,ci,ci
1959-08-01T14:25:26.770Z,33.9656667,-117.8041667,1.11,2.32,ml,6,159,0.3327,0.42,ci,ci3297147,2016-01-28T18:15:43.650Z,"5km SW of Chino Hills, CA",earthquake,1.73,1.81,0.283,4,reviewed,ci,ci
1959-08-01T14:23:23.090Z,33.975,-117.8016667,0.09,2.03,mh,7,157,0.3269,0.42,ci,ci3297145,2016-01-28T18:06:21.830Z,"4km WSW of Chino Hills, CA",earthquake,1.34,1.22,0.183,12,reviewed,ci,ci
1959-07-30T12:06:44.740Z,33.9766667,-117.8176667,0.14,2.19,ml,8,158,0.3171,0.42,ci,ci3297144,2016-01-28T18:15:43.160Z,"6km WSW of Chino Hills, CA",earthquake,1.45,1.13,0.138,4,reviewed,ci,ci
1959-07-30T12:04:55.570Z,33.9615,-117.8178333,4.6,2.13,ml,6,161,0.3289,0.08,ci,ci3297143,2016-01-28T18:06:21.350Z,"6km WSW of Chino Hills, CA",earthquake,0.7,1.08,0.073,4,reviewed,ci,ci
1959-07-30T09:04:04.460Z,33.9666667,-117.8046667,0.16,2.44,ml,6,158,0.3317,0.19,ci,ci3297142,2016-01-28T17:57:15.120Z,"5km SW of Chino Hills, CA",earthquake,0.77,0.68,0.027,3,reviewed,ci,ci
1959-07-30T00:03:39.440Z,33.9816667,-117.7961667,6.6,2.18,ml,6,156,0.3249,0.68,ci,ci3297141,2016-01-28T18:11:01.370Z,"4km WSW of Chino Hills, CA",earthquake,2.3,3.61,0.161,4,reviewed,ci,ci
1959-07-30T00:02:57.450Z,34.0146667,-117.7986667,13.54,2.18,ml,5,150,0.2997,0.15,ci,ci3297140,2016-01-28T18:15:42.620Z,"2km SE of Diamond Bar, CA",earthquake,2.54,2.46,0.107,4,reviewed,ci,ci
1959-07-29T22:03:59.470Z,33.9665,-117.8055,5.72,2.78,ml,8,158,0.3314,0.48,ci,ci3297139,2016-01-28T18:01:39.480Z,"5km SW of Chino Hills, CA",earthquake,1.71,1.98,0.106,8,reviewed,ci,ci
1959-07-29T21:29:09.210Z,33.9998333,-117.7688333,6.17,3.48,ml,12,100,,0.62,ci,ci3297138,2016-01-28T18:29:28.940Z,"1km NW of Chino Hills, CA",earthquake,1.51,2.38,0.178,9,reviewed,ci,ci
1959-07-29T21:26:14.770Z,33.955,-117.799,6.4,2.88,ml,10,160,0.3437,0.44,ci,ci3297136,2016-01-28T18:29:28.440Z,"6km SW of Chino Hills, CA",earthquake,1.35,1.56,0.247,8,reviewed,ci,ci
1959-07-29T20:14:45.830Z,33.9558333,-117.8016667,7.16,3.14,ml,10,160,,0.48,ci,ci3297135,2016-01-28T17:57:14.620Z,"6km SW of Chino Hills, CA",earthquake,1.33,1.76,0.12,8,reviewed,ci,ci
1959-07-29T19:14:27.560Z,34.0028333,-117.7995,5.3,2.2,ml,6,152,0.3076,0.6,ci,ci3297134,2016-01-28T17:57:14.110Z,"3km SSE of Diamond Bar, CA",earthquake,2.27,4.42,0.046,4,reviewed,ci,ci
1959-07-29T19:13:14.240Z,33.9391667,-117.7956667,3.31,2.31,ml,7,162,0.3534,0.49,ci,ci3297133,2016-01-28T18:11:00.890Z,"6km NNE of Yorba Linda, CA",earthquake,1.69,3.07,0.064,4,reviewed,ci,ci
1959-07-29T18:39:58.640Z,33.9796667,-117.8093333,5.82,3,ml,8,157,0.3192,0.39,ci,ci3297131,2016-01-28T18:24:47.880Z,"5km WSW of Chino Hills, CA",earthquake,1.49,1.65,0.226,7,reviewed,ci,ci
1959-07-29T17:39:13.770Z,34.0998333,-116.5233333,6,3.22,ml,7,231,0.7154,0.42,ci,ci3297130,2016-01-28T18:01:38.940Z,"8km NE of Morongo Valley, CA",earthquake,1.65,31.61,0.081,5,reviewed,ci,ci
1959-07-29T17:33:16.410Z,33.959,-117.8118333,6,2.71,ml,7,161,0.3339,0.4,ci,ci3297129,2016-01-28T18:20:15.220Z,"6km SW of Chino Hills, CA",earthquake,1.59,31.61,0.144,8,reviewed,ci,ci
1959-07-29T16:48:34.910Z,33.9666667,-117.8081667,6,2.95,ml,10,101,,0.34,ci,ci3297128,2016-01-28T18:15:42.050Z,"6km WSW of Chino Hills, CA",earthquake,1.12,31.61,0.185,8,reviewed,ci,ci
